"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20467","VS_TC_010 - Invalid SC Number format handling","chromium","2026-05-14","passed","2026-05-14","","ViewStatus\specs\viewstatus-management.spec.ts","",""
"","21082","VS_TC_005 - No data for invalid complaint number","chromium","2026-05-14","failed","2026-05-14","","ViewStatus\specs\viewstatus-management.spec.ts","",""
"","2277","VS_TC_002 - SC Number Search","chromium","2026-05-14","passed","2026-05-14","","ViewStatus\specs\viewstatus-management.spec.ts","",""
"","1474","VS_TC_001 - Complaint Number Search","chromium","2026-05-14","passed","2026-05-14","","ViewStatus\specs\viewstatus-management.spec.ts","",""
"","1569","VS_TC_003 - Unique SCNO Search","chromium","2026-05-14","passed","2026-05-14","","ViewStatus\specs\viewstatus-management.spec.ts","",""
"","343","VS_TC_009 - Empty input submit validation","chromium","2026-05-14","passed","2026-05-14","","ViewStatus\specs\viewstatus-management.spec.ts","",""
"","20694","VS_TC_006 - Phone number must start with 9/8/7/6 only","chromium","2026-05-14","passed","2026-05-14","","ViewStatus\specs\viewstatus-management.spec.ts","",""
"","20520","VS_TC_007 - Phone number should start only with 9/8/7/6","chromium","2026-05-14","passed","2026-05-14","","ViewStatus\specs\viewstatus-management.spec.ts","",""
"","20476","VS_TC_008 - Phone number should accept numeric digits only","chromium","2026-05-14","passed","2026-05-14","","ViewStatus\specs\viewstatus-management.spec.ts","",""
"","2529","VS_TC_004 - Phone Number Search","chromium","2026-05-14","passed","2026-05-14","","ViewStatus\specs\viewstatus-management.spec.ts","",""
